Stimulus Number,Stimulus Display Time,Response Time,Reaction Time,
Stimulus1,25.2296207,34.1925186,8.9628979,
Stimulus2,35.7070812,38.8206624,3.1135812,
Stimulus3,40.3399376,41.45283,1.1128924,
Stimulus4,42.9726443,43.85015,0.8775057,
Stimulus5,45.3755395,46.8840958,1.5085563,
Stimulus6,48.4025222,51.6025389,3.2000167,
Stimulus7,53.1170256,55.6538181,2.5367925,
Stimulus8,57.1673065,58.9021931,1.7348866,
Stimulus9,60.4140673,62.5676009,2.1535336,
Stimulus10,64.0789552,65.1863311,1.1073759,
,,,,
,,Mean,2.63080388,
,,,,
,,,,
