Stimulus Number,Stimulus Display Time,Response Time,Reaction Time
Stimulus1,26.2118694,28.1785406,1.9666712
Stimulus2,29.6941408,32.7521568,3.058016
Stimulus3,34.2770584,36.1616935,1.8846351
Stimulus4,37.6751578,39.1493766,1.4742188
Stimulus5,40.673903,42.3178605,1.6439575
Stimulus6,43.8380984,47.2765956,3.4384972
Stimulus7,48.7855749,50.0604602,1.2748853
Stimulus8,51.5863801,52.4668869,0.8805068
Stimulus9,53.9841856,55.1486177,1.1644321
Stimulus10,56.6673166,57.0090059,0.3416893
,,,
,,Mean,1.71275093
