Stimulus Number,Stimulus Display Time,Response Time,Reaction Time,
Stimulus1,18.1066619,19.6943877,1.5877258,
Stimulus2,21.2042442,22.6878224,1.4835782,
Stimulus3,24.2051313,25.1194698,0.9143385,
Stimulus4,26.6375494,27.9217858,1.2842364,
Stimulus5,29.4357328,30.940473,1.5047402,
Stimulus6,32.4501648,34.736388,2.2862232,
Stimulus7,36.2475168,37.3925871,1.1450703,
Stimulus8,38.9162547,39.9947482,1.0784935,
Stimulus9,41.5138489,42.8976263,1.3837774,
Stimulus10,44.4125645,45.5799436,1.1673791,
,,,,
,,Mean,1.38355626,
,,,,
,,,,
