Stimulus Number,Stimulus Display Time,Response Time,Reaction Time
Stimulus1,27.5281622,30.6299472,3.101785
Stimulus2,32.1424095,33.3433308,1.2009213
Stimulus3,34.8651377,37.1738003,2.3086626
Stimulus4,38.6916367,41.704845,3.0132083
Stimulus5,43.2232858,44.3772698,1.153984
Stimulus6,45.9055624,47.7712147,1.8656523
Stimulus7,49.2867685,52.4938699,3.2071014
Stimulus8,54.0210995,55.015642,0.9945425
Stimulus9,56.5342878,58.6002671,2.0659793
Stimulus10,60.1166836,63.3746326,3.257949
,,,
,,Mean,2.21697857
