Stimulus Number,Stimulus Display Time,Response Time,Reaction time,
Stimulus1,30.7940761,32.8108547,2.0167786,
Stimulus2,34.3264682,35.4727941,1.1463259,
Stimulus3,36.9927653,40.0386089,3.0458436,
Stimulus4,41.5569721,42.8876902,1.3307181,
Stimulus5,44.404731,48.0386752,3.6339442,
Stimulus6,49.5532318,54.7347635,5.1815317,
Stimulus7,56.2510035,59.3602964,3.1092929,
Stimulus8,60.8875743,63.0612767,2.1737024,
Stimulus9,64.5803481,66.0457746,1.4654265,
Stimulus10,67.5622152,69.7319564,2.1697412,
,,,,
,,Mean,2.52733051,
,,,,
