Stimulus Number,Stimulus Display Time,Response Time,Reaction time
Stimulus1,34.8639564,37.8165951,2.9526387
Stimulus2,39.326213,42.4606152,3.1344022
Stimulus3,43.976019,45.3405974,1.3645784
Stimulus4,46.8589748,48.148489,1.2895142
Stimulus5,49.6751669,52.7779973,3.1028304
Stimulus6,54.2863291,55.9089605,1.6226314
Stimulus7,57.4221415,60.2774932,2.8553517
Stimulus8,61.8048643,63.0253966,1.2205323
Stimulus9,64.5504185,65.8503401,1.2999216
Stimulus10,67.3659144,68.6883284,1.322414
,,,
,,Mean,2.01648149
