Stimulus Number,Stimulus Display Time,Response Time,Reaction Time
Stimulus1,41.6577902,46.7744892,5.116699
Stimulus2,48.2887362,50.7046979,2.4159617
Stimulus3,52.221582,53.2966563,1.0750743
Stimulus4,54.8211213,56.3147903,1.493669
Stimulus5,57.8348592,60.7563025,2.9214433
Stimulus6,62.2659668,63.4960559,1.2300891
Stimulus7,65.0156635,68.6172565,3.601593
Stimulus8,70.1304474,72.5025371,2.3720897
Stimulus9,74.011731,77.8269162,3.8151852
Stimulus10,79.3437258,81.3563435,2.0126177
,,,
,,Mean,2.6054422
,,,
,,,
,,,
,,,
